time,temperature_2m_max,temperature_2m_min,precipitation_sum,surface_pressure_mean,cloud_cover_mean,wind_speed_10m_max
2020-01-01,-0.1,-6.3,4.0,989.1,97,22.3
2020-01-02,-6.0,-9.5,0.0,1002.3,89,17.7
2020-01-03,0.2,-6.8,0.2,1002.4,97,25.3
2020-01-04,0.2,-2.0,0.2,997.0,99,24.9
2020-01-05,-0.1,-1.9,0.7,1000.6,97,18.6
2020-01-06,-1.1,-4.7,0.0,1013.4,89,11.2
2020-01-07,-3.3,-5.4,1.6,1017.6,97,6.8
2020-01-08,-5.6,-9.5,0.0,1019.3,80,17.1
2020-01-09,-3.2,-8.1,0.5,1009.4,98,26.1
2020-01-10,-1.1,-3.8,2.4,1004.3,96,21.7
2020-01-11,-1.3,-2.4,0.7,1004.9,96,15.2
2020-01-12,-2.7,-5.4,0.2,1005.4,95,29.5
2020-01-13,0.1,-3.5,4.5,993.4,98,31.1
2020-01-14,-0.2,-2.2,0.1,1003.7,93,21.3
2020-01-15,-0.6,-2.3,0.2,1013.1,100,26.8
2020-01-16,2.2,-1.5,8.0,1004.5,100,32.6
2020-01-17,2.0,0.2,0.0,1008.4,96,28.5
2020-01-18,1.2,-0.2,0.0,1014.0,96,19.9
2020-01-19,0.6,-1.0,0.0,1013.0,99,22.5
2020-01-20,0.3,-0.6,2.2,1008.0,99,22.0
2020-01-21,0.6,-0.6,3.8,995.8,99,25.6
2020-01-22,0.6,-4.6,2.9,978.1,73,30.0
2020-01-23,-3.8,-9.0,0.7,984.1,80,20.7
2020-01-24,-6.6,-9.5,0.6,994.0,95,20.8
2020-01-25,-0.7,-6.6,1.7,983.1,91,23.4
2020-01-26,-4.1,-8.2,0.7,987.9,97,23.6
2020-01-27,-6.6,-10.4,3.9,995.3,100,26.4
2020-01-28,-10.9,-19.3,0.0,1014.0,67,16.7
2020-01-29,-6.2,-14.2,1.4,1012.0,99,25.5
2020-01-30,-0.9,-7.1,4.9,1005.1,100,23.5
2020-01-31,0.4,-0.9,1.8,996.8,97,32.5
2020-02-01,-0.3,-5.6,0.0,998.7,90,21.2
2020-02-02,-0.3,-6.9,0.1,997.4,91,31.4
2020-02-03,1.2,-0.8,5.6,979.3,99,38.6
2020-02-04,1.2,-5.9,1.5,977.8,74,29.2
2020-02-05,-4.1,-7.0,0.8,987.6,83,26.5
2020-02-06,-6.9,-10.4,0.3,995.5,93,26.3
2020-02-07,-6.7,-8.5,2.3,992.1,98,25.2
2020-02-08,-9.4,-21.4,0.0,1005.0,28,24.6
2020-02-09,-10.6,-22.5,0.2,1011.8,46,23.7
2020-02-10,-2.9,-10.6,0.0,1002.9,98,23.9
2020-02-11,-5.6,-7.8,0.0,1000.9,56,27.6
2020-02-12,-6.8,-9.1,0.0,1005.1,75,27.6
2020-02-13,-7.7,-13.6,0.0,1006.0,94,15.0
2020-02-14,-7.8,-14.6,0.0,1009.0,76,10.2
2020-02-15,-8.3,-13.9,0.0,1016.3,87,8.8
2020-02-16,-1.6,-8.9,0.0,1022.2,94,20.6
2020-02-17,1.9,-4.7,0.6,1011.7,100,37.2
2020-02-18,2.0,0.7,1.3,1003.3,100,37.3
2020-02-19,0.8,-0.3,2.8,1001.5,95,17.3
2020-02-20,1.5,-3.2,0.0,1006.9,75,20.4
2020-02-21,1.1,-3.8,0.0,1013.9,32,14.2
2020-02-22,0.8,-8.1,0.0,1018.3,2,17.0
2020-02-23,-1.5,-6.1,2.9,1006.3,84,37.3
2020-02-24,0.9,-1.4,2.3,990.9,94,31.3
2020-02-25,0.8,-1.4,7.4,988.3,100,29.6
2020-02-26,0.2,-6.6,0.7,991.7,72,30.3
2020-02-27,1.5,-4.2,4.5,994.7,100,26.3
2020-02-28,3.8,0.3,4.5,992.4,96,34.5
2020-02-29,2.0,-1.5,7.7,993.1,71,33.5
2020-03-01,-1.0,-4.8,0.0,1006.4,28,24.2
2020-03-02,2.5,-4.0,0.0,1009.7,93,30.3
2020-03-03,2.2,-1.1,0.0,1012.4,99,27.2
2020-03-04,0.3,-5.4,0.8,1011.3,69,17.3
2020-03-05,0.7,-4.6,0.0,1020.8,71,19.5
2020-03-06,1.3,-3.0,0.0,1020.6,93,34.0
2020-03-07,1.9,-1.4,0.0,1016.7,96,30.6
2020-03-08,2.9,-0.9,1.2,1012.3,97,26.0
2020-03-09,3.3,-1.5,1.5,1011.7,73,14.4
2020-03-10,4.0,-3.3,1.6,1010.9,92,25.9
2020-03-11,5.5,1.0,0.0,1001.1,84,22.6
2020-03-12,7.0,2.4,2.5,990.5,73,25.8
2020-03-13,5.4,1.0,3.0,986.2,56,34.7
2020-03-14,5.1,-1.2,0.1,990.9,81,37.4
2020-03-15,4.4,-2.3,2.6,995.2,58,12.8
2020-03-16,3.8,-4.4,3.5,1005.5,58,26.9
2020-03-17,5.3,-5.4,0.0,1010.6,79,26.7
2020-03-18,8.4,-0.6,0.0,1013.3,82,25.9
2020-03-19,4.7,3.5,3.7,1000.3,100,31.6
2020-03-20,4.6,-1.5,1.3,996.5,64,17.0
2020-03-21,2.4,-4.9,0.7,1002.7,39,22.4
2020-03-22,-1.2,-6.9,0.0,1019.0,20,20.7
2020-03-23,0.0,-6.8,1.2,1023.1,81,34.6
2020-03-24,1.5,-4.1,5.0,1016.0,91,35.9
2020-03-25,5.4,-6.2,0.0,1021.3,31,18.5
2020-03-26,9.6,-0.3,0.0,1016.4,50,24.5
2020-03-27,11.1,-0.9,0.0,1020.6,25,14.9
2020-03-28,13.1,1.4,0.0,1017.4,90,17.4
2020-03-29,12.0,2.2,0.0,1007.7,81,21.7
2020-03-30,13.1,3.8,0.0,1000.4,94,25.1
2020-03-31,14.1,0.3,0.0,995.1,50,24.5
2020-04-01,1.2,-2.6,0.0,994.1,92,27.7
2020-04-02,4.3,-3.0,0.1,996.2,90,29.3
2020-04-03,9.5,-0.1,0.0,1003.5,68,22.9
2020-04-04,13.9,1.6,0.0,1003.1,46,20.7
2020-04-05,6.9,-1.8,0.2,1006.9,44,19.9
2020-04-06,2.9,-3.3,2.4,1008.1,79,28.0
2020-04-07,4.4,-2.2,0.9,1016.0,42,32.1
2020-04-08,7.9,-2.6,0.0,1006.1,87,18.9
2020-04-09,13.1,0.8,0.0,1004.4,27,15.5
2020-04-10,13.4,6.2,1.5,1000.2,99,33.3
2020-04-11,6.7,2.0,7.4,1000.1,100,25.2
2020-04-12,5.7,-0.1,6.3,997.6,100,30.1
2020-04-13,6.2,-0.9,0.1,1000.5,82,26.8
2020-04-14,11.0,-2.5,0.0,1002.1,35,16.9
2020-04-15,14.6,3.5,4.4,993.8,88,36.9
2020-04-16,7.3,1.5,2.4,990.5,68,30.4
2020-04-17,6.4,2.0,5.4,983.5,98,26.6
2020-04-18,7.9,1.1,1.2,992.9,78,22.3
2020-04-19,8.9,0.2,1.0,1004.3,58,15.4
2020-04-20,11.1,1.1,0.0,1007.2,86,14.5
2020-04-21,5.8,2.3,18.2,997.9,94,37.7
2020-04-22,5.4,0.2,6.8,984.2,92,31.1
2020-04-23,2.8,-2.3,1.4,993.1,45,26.5
2020-04-24,3.7,-3.2,0.1,996.1,48,20.2
2020-04-25,10.2,-0.3,3.8,990.7,97,25.7
2020-04-26,11.6,6.0,4.3,992.8,95,24.6
2020-04-27,14.5,5.3,0.5,992.8,93,10.7
2020-04-28,10.0,3.3,1.5,990.4,88,30.9
2020-04-29,12.2,2.3,9.4,995.7,55,27.4
2020-04-30,11.6,4.0,0.2,997.3,42,34.2
2020-05-01,7.7,2.3,4.4,1007.2,98,21.3
2020-05-02,11.0,1.5,0.0,1010.4,22,15.7
2020-05-03,15.1,-0.5,0.0,1013.3,48,11.2
2020-05-04,19.3,6.0,0.0,1013.3,36,17.4
2020-05-05,23.0,7.4,0.0,1011.8,70,25.8
2020-05-06,20.0,11.6,0.0,1008.2,41,28.7
2020-05-07,21.0,13.1,1.5,1002.5,99,23.7
2020-05-08,25.0,13.2,0.0,1000.8,58,13.6
2020-05-09,24.8,13.5,0.0,998.2,16,19.8
2020-05-10,16.6,12.6,0.5,996.1,51,26.3
2020-05-11,18.1,10.4,0.6,999.7,22,13.3
2020-05-12,19.3,8.2,0.3,997.6,33,14.9
2020-05-13,19.5,6.9,6.6,994.8,72,29.2
2020-05-14,12.9,3.9,0.0,1006.8,48,19.5
2020-05-15,11.6,7.8,9.2,999.4,99,26.3
2020-05-16,12.2,5.1,0.2,999.4,42,27.8
2020-05-17,15.4,5.1,0.0,1002.7,22,17.3
2020-05-18,15.2,6.7,3.5,999.4,65,14.8
2020-05-19,14.8,7.0,7.4,993.4,89,27.9
2020-05-20,9.2,5.6,10.0,994.2,98,27.3
2020-05-21,15.0,6.8,0.1,997.6,45,15.3
2020-05-22,13.4,6.3,1.8,1000.2,50,27.1
2020-05-23,16.0,4.0,0.0,1007.2,67,24.1
2020-05-24,16.1,7.9,5.3,1005.8,84,25.7
2020-05-25,16.5,7.7,0.5,1016.0,48,23.0
2020-05-26,19.2,6.8,0.0,1019.7,68,22.5
2020-05-27,21.2,11.3,5.7,1009.1,27,24.5
2020-05-28,19.4,9.5,0.0,1014.8,23,14.0
2020-05-29,22.5,11.4,0.0,1013.8,0,9.0
2020-05-30,24.8,13.1,0.0,1006.7,35,12.6
2020-05-31,21.0,13.6,7.0,996.8,79,14.0
2020-06-01,13.6,9.8,2.2,1002.3,98,19.2
2020-06-02,16.0,7.5,0.0,1009.5,90,15.7
2020-06-03,19.5,9.1,1.3,1008.4,89,21.6
2020-06-04,21.5,13.1,15.3,1003.8,97,30.6
2020-06-05,22.9,15.1,0.7,1007.3,58,14.3
2020-06-06,18.9,14.0,10.1,1007.6,96,27.9
2020-06-07,18.9,13.3,7.4,1008.6,67,13.2
2020-06-08,21.0,11.3,0.4,1010.7,37,11.0
2020-06-09,24.5,14.6,0.3,1012.8,18,28.3
2020-06-10,22.5,15.4,1.4,1011.1,54,12.7
2020-06-11,24.7,15.4,0.1,1007.1,52,14.7
2020-06-12,22.6,12.9,1.2,1004.9,75,25.4
2020-06-13,16.8,9.9,0.0,1011.3,73,18.6
2020-06-14,19.5,8.1,0.0,1016.4,7,14.7
2020-06-15,21.4,9.4,0.0,1017.0,33,7.7
2020-06-16,23.6,14.9,0.0,1011.7,28,14.6
2020-06-17,25.2,17.2,1.2,1007.4,30,16.3
2020-06-18,20.9,14.1,0.0,1010.3,2,16.8
2020-06-19,21.5,11.1,0.0,1011.8,18,11.3
2020-06-20,23.6,14.6,3.6,1004.7,55,20.5
2020-06-21,17.9,9.8,0.0,1006.7,23,20.6
2020-06-22,15.4,8.0,0.0,1009.9,54,13.6
2020-06-23,20.9,9.5,0.0,1008.9,55,19.4
2020-06-24,21.5,12.4,0.0,1006.0,39,23.9
2020-06-25,16.8,8.6,0.0,1010.0,38,28.5
2020-06-26,19.6,10.2,0.0,1008.4,58,28.6
2020-06-27,26.0,14.8,3.8,999.4,80,30.2
2020-06-28,17.6,10.8,0.0,998.9,51,23.9
2020-06-29,16.5,9.5,0.0,1000.0,53,19.3
2020-06-30,16.0,9.6,0.1,1003.8,57,18.0
2020-07-01,19.8,8.6,0.8,1005.6,63,20.8
2020-07-02,24.1,15.1,5.9,1003.1,81,21.6
2020-07-03,25.4,16.0,0.2,1006.7,66,9.5
2020-07-04,29.0,18.5,0.4,1006.3,46,19.4
2020-07-05,26.5,19.3,1.1,1002.7,75,16.6
2020-07-06,29.0,20.8,0.0,1001.8,60,15.5
2020-07-07,31.4,19.0,0.0,1003.4,4,14.3
2020-07-08,32.8,22.5,0.0,1004.5,1,20.1
2020-07-09,31.9,23.1,0.0,1003.7,12,23.2
2020-07-10,26.9,17.0,3.9,1005.7,74,21.5
2020-07-11,25.0,14.8,0.0,1011.4,38,14.8
2020-07-12,26.9,14.5,0.0,1009.8,4,8.5
2020-07-13,30.6,16.9,0.0,1004.2,39,21.4
2020-07-14,34.5,22.9,0.7,1001.3,38,29.3
2020-07-15,31.9,23.5,0.0,1000.7,61,25.4
2020-07-16,26.1,19.2,0.0,1002.9,70,15.1
2020-07-17,23.4,16.6,0.0,1004.1,37,17.6
2020-07-18,24.1,13.6,0.0,1005.5,81,11.7
2020-07-19,24.3,17.3,3.9,1002.1,86,16.9
2020-07-20,22.3,17.1,12.1,999.5,81,17.9
2020-07-21,23.0,16.8,5.8,997.9,62,20.2
2020-07-22,23.1,17.8,0.6,997.1,60,9.3
2020-07-23,22.1,15.2,6.9,996.2,89,14.5
2020-07-24,22.0,14.9,0.0,1001.6,61,19.8
2020-07-25,21.9,14.4,0.0,1006.9,48,15.6
2020-07-26,20.8,12.9,5.7,1009.8,46,18.4
2020-07-27,24.0,13.2,0.3,1010.7,34,10.8
2020-07-28,25.1,14.6,0.0,1010.4,29,8.7
2020-07-29,25.5,14.6,0.0,1008.2,28,13.7
2020-07-30,30.1,18.6,0.0,1001.6,82,26.8
2020-07-31,22.8,15.9,4.6,998.0,46,21.5
2020-08-01,21.6,14.9,11.9,996.7,92,20.2
2020-08-02,19.7,15.4,10.1,993.6,71,40.3
2020-08-03,19.7,14.3,5.3,1005.1,86,11.8
2020-08-04,22.4,12.4,0.0,1009.9,77,20.2
2020-08-05,26.5,15.6,0.0,1010.8,40,22.4
2020-08-06,29.5,17.3,0.0,1010.0,56,11.0
2020-08-07,26.0,18.1,0.4,1008.1,66,23.6
2020-08-08,22.5,14.7,0.0,1006.2,56,25.7
2020-08-09,22.1,13.3,0.0,1000.5,42,29.9
2020-08-10,19.2,12.9,0.0,1001.1,48,26.0
2020-08-11,21.4,12.9,0.0,1002.9,55,12.7
2020-08-12,19.0,12.7,0.2,1002.4,97,11.5
2020-08-13,17.1,13.2,24.7,999.5,99,24.4
2020-08-14,14.7,12.3,11.8,996.8,96,23.0
2020-08-15,16.2,11.5,5.9,997.5,98,23.8
2020-08-16,16.8,11.2,0.4,998.2,79,23.3
2020-08-17,16.0,11.2,4.5,994.2,79,30.2
2020-08-18,16.7,8.4,0.1,997.4,26,26.8
2020-08-19,16.2,7.9,0.0,1000.5,28,22.6
2020-08-20,17.5,8.5,0.0,1002.9,22,22.2
2020-08-21,18.2,10.9,0.1,1004.7,69,22.5
2020-08-22,18.6,10.6,0.5,1006.7,68,16.3
2020-08-23,22.0,10.8,0.8,1006.0,45,14.3
2020-08-24,23.2,13.0,0.0,1004.5,89,15.0
2020-08-25,22.7,14.6,0.0,1003.3,68,22.0
2020-08-26,24.3,14.0,0.0,1004.0,70,20.5
2020-08-27,22.9,16.0,0.0,1001.1,70,19.6
2020-08-28,25.6,15.6,0.4,998.7,82,20.2
2020-08-29,23.0,16.6,3.1,1001.3,85,15.2
2020-08-30,19.8,15.2,0.0,1008.6,82,17.9
2020-08-31,27.1,15.9,0.7,1007.2,43,20.7
2020-09-01,28.0,18.4,0.0,1003.6,66,22.7
2020-09-02,19.5,11.3,0.0,1014.6,41,28.1
2020-09-03,18.4,7.4,0.0,1023.4,27,13.4
2020-09-04,17.6,6.1,0.0,1022.1,18,9.4
2020-09-05,18.5,7.3,0.0,1018.5,58,10.7
2020-09-06,19.6,10.6,0.0,1015.8,74,14.6
2020-09-07,23.2,11.3,0.0,1014.3,48,14.8
2020-09-08,23.0,13.9,0.0,1011.3,90,20.8
2020-09-09,19.0,11.8,4.9,1001.2,97,26.9
2020-09-10,18.1,9.8,0.0,1002.0,53,24.8
2020-09-11,17.0,11.9,5.3,998.7,52,29.3
2020-09-12,16.6,10.2,0.0,1010.9,63,18.1
2020-09-13,18.4,7.9,0.0,1012.4,60,22.2
2020-09-14,15.4,10.9,5.4,1000.1,77,25.1
2020-09-15,14.1,8.8,3.9,999.2,45,25.0
2020-09-16,12.1,7.1,0.2,1003.2,56,33.4
2020-09-17,12.5,5.8,0.0,1008.1,63,21.1
2020-09-18,18.9,10.2,0.4,998.9,85,26.4
2020-09-19,13.9,6.4,3.0,993.7,77,25.6
2020-09-20,9.8,5.1,5.1,994.0,57,28.5
2020-09-21,8.8,6.0,4.2,999.8,90,28.1
2020-09-22,15.1,7.7,0.0,999.6,95,29.4
2020-09-23,15.7,5.8,0.0,1003.2,51,26.6
2020-09-24,15.8,3.5,0.0,1015.3,11,10.4
2020-09-25,16.4,6.8,0.0,1019.1,46,16.9
2020-09-26,16.1,7.3,0.0,1021.4,88,14.5
2020-09-27,16.5,7.2,0.0,1025.3,95,11.1
2020-09-28,16.9,7.2,0.0,1026.8,25,10.5
2020-09-29,17.0,4.6,0.0,1025.9,79,12.2
2020-09-30,18.4,6.6,0.0,1023.9,98,12.3
2020-10-01,17.9,6.4,0.0,1023.6,80,11.0
2020-10-02,17.8,7.2,0.0,1023.0,54,12.5
2020-10-03,18.3,4.6,0.0,1022.6,30,11.2
2020-10-04,10.2,2.1,0.0,1027.0,15,16.6
2020-10-05,10.9,-1.0,0.0,1028.4,39,11.8
2020-10-06,12.8,6.6,0.1,1020.0,95,19.0
2020-10-07,15.6,7.9,0.0,1020.7,86,16.3
2020-10-08,13.8,7.7,0.0,1025.9,84,21.3
2020-10-09,15.9,6.8,0.0,1024.4,72,23.1
2020-10-10,16.5,8.4,0.0,1021.2,88,21.2
2020-10-11,14.1,6.1,0.0,1020.9,60,18.4
2020-10-12,12.9,5.1,0.0,1017.0,77,23.7
2020-10-13,15.0,9.0,0.0,1014.4,85,13.8
2020-10-14,16.6,7.9,0.0,1011.8,82,13.3
2020-10-15,16.5,4.7,0.0,1006.1,46,24.9
2020-10-16,14.2,6.2,8.3,1001.1,63,27.5
2020-10-17,5.1,2.0,1.8,1008.9,82,22.9
2020-10-18,10.1,1.4,13.0,1006.8,90,33.3
2020-10-19,10.3,3.0,0.1,1002.6,73,30.6
2020-10-20,6.6,2.1,0.0,1002.6,64,28.9
2020-10-21,3.2,-0.6,1.0,1004.7,57,29.8
2020-10-22,2.2,-1.3,0.0,1010.5,81,21.3
2020-10-23,5.2,-1.5,5.7,1003.6,100,27.4
2020-10-24,11.0,5.6,3.9,994.7,79,25.0
2020-10-25,5.4,0.9,0.6,1000.7,89,23.4
2020-10-26,3.2,-0.8,0.0,1010.7,77,26.3
2020-10-27,2.3,-3.7,0.0,1023.8,73,10.8
2020-10-28,4.8,-1.2,0.0,1023.1,61,16.0
2020-10-29,4.5,-2.5,0.0,1021.2,0,14.8
2020-10-30,4.7,-1.2,1.2,1016.4,69,19.5
2020-10-31,4.2,1.2,0.4,1012.0,96,13.7
2020-11-01,3.7,0.6,0.0,1018.5,95,18.2
2020-11-02,3.5,-1.5,0.0,1021.0,69,12.4
2020-11-03,5.0,-2.7,0.0,1022.5,21,11.9
2020-11-04,4.9,-2.5,0.0,1021.1,66,7.6
2020-11-05,5.2,0.9,0.9,1013.1,98,19.5
2020-11-06,5.5,3.0,4.3,996.0,98,21.9
2020-11-07,3.3,0.6,2.3,994.3,73,18.3
2020-11-08,6.1,1.5,1.7,994.3,96,29.9
2020-11-09,2.8,0.9,0.0,1002.7,81,26.4
2020-11-10,0.9,-1.7,2.7,1002.3,88,28.0
2020-11-11,0.3,-2.5,0.5,1009.8,82,26.9
2020-11-12,-0.4,-2.5,0.5,1012.9,86,27.1
2020-11-13,-0.1,-2.2,3.3,1015.5,94,20.3
2020-11-14,-3.0,-8.1,0.1,1021.8,68,12.6
2020-11-15,-5.0,-10.9,0.0,1030.0,39,9.8
2020-11-16,-6.8,-13.6,0.0,1034.2,22,12.7
2020-11-17,-7.6,-11.4,0.0,1038.3,2,10.1
2020-11-18,-7.1,-14.9,0.0,1036.3,0,15.5
2020-11-19,-1.5,-9.0,0.0,1025.2,81,24.3
2020-11-20,-1.2,-4.1,0.0,1020.3,61,25.4
2020-11-21,-3.8,-8.2,0.0,1025.6,61,18.3
2020-11-22,-5.2,-9.1,0.0,1022.9,60,21.4
2020-11-23,-3.6,-7.8,2.1,1013.4,87,25.4
2020-11-24,-0.4,-4.0,2.3,1006.0,99,22.3
2020-11-25,-0.6,-4.4,1.8,1006.5,98,21.6
2020-11-26,-3.3,-5.9,0.0,1011.0,97,7.0
2020-11-27,-4.7,-6.6,0.0,1015.2,86,17.7
2020-11-28,-2.7,-5.8,2.7,1022.8,100,20.9
2020-11-29,-0.7,-2.7,2.4,1032.8,100,18.8
2020-11-30,-1.4,-9.3,0.0,1036.9,65,22.2
2020-12-01,-7.6,-11.1,0.0,1036.9,35,19.7
2020-12-02,-6.9,-11.9,0.0,1034.5,99,15.9
2020-12-03,-12.0,-14.9,0.0,1034.2,92,9.2
2020-12-04,-11.6,-13.9,0.0,1036.0,99,10.1
2020-12-05,-11.2,-17.2,0.0,1036.9,79,10.7
2020-12-06,-14.6,-19.4,0.0,1037.0,6,14.4
2020-12-07,-9.1,-15.4,0.0,1034.7,0,12.9
2020-12-08,-8.8,-15.1,0.0,1033.1,1,12.9
2020-12-09,-9.6,-16.5,0.0,1033.0,0,13.3
2020-12-10,-10.9,-18.0,0.0,1033.7,0,14.1
2020-12-11,-13.1,-18.9,0.0,1033.0,30,13.5
2020-12-12,-9.6,-14.2,0.0,1031.5,95,13.5
2020-12-13,-9.4,-15.4,0.0,1031.4,78,13.0
2020-12-14,-9.8,-12.9,0.0,1027.0,98,17.4
2020-12-15,-9.7,-13.9,0.2,1021.8,100,19.6
2020-12-16,-6.8,-9.6,4.0,1016.2,96,17.4
2020-12-17,-3.2,-8.4,2.2,1010.4,100,20.6
2020-12-18,-0.9,-13.8,0.9,1009.3,74,24.5
2020-12-19,-13.6,-21.8,0.0,1025.8,90,16.0
2020-12-20,-15.9,-20.1,0.0,1028.7,59,14.8
2020-12-21,-6.2,-19.2,0.8,1026.2,77,19.3
2020-12-22,-3.9,-6.2,1.7,1021.4,99,16.8
2020-12-23,-3.9,-6.7,0.1,1018.1,99,15.7
2020-12-24,-5.6,-13.9,0.0,1016.6,84,13.9
2020-12-25,-6.3,-11.3,0.0,1015.3,100,23.7
2020-12-26,-7.2,-11.3,9.2,1008.8,100,29.2
2020-12-27,-3.5,-6.6,3.3,1006.9,97,22.3
2020-12-28,-3.5,-11.9,0.0,1021.7,99,19.8
2020-12-29,-12.9,-19.6,0.0,1028.7,98,11.0
2020-12-30,-8.9,-16.6,1.3,1026.1,99,19.7
2020-12-31,-8.4,-9.8,0.4,1023.8,99,22.6
2021-01-01,-6.3,-10.6,0.1,1021.9,100,19.3
2021-01-02,-6.2,-9.6,0.1,1020.6,100,24.0
2021-01-03,-3.2,-9.7,2.3,1021.1,98,23.2
2021-01-04,-2.2,-3.8,5.0,1026.8,98,15.9
2021-01-05,-2.4,-3.0,4.4,1026.4,100,16.2
2021-01-06,-2.9,-12.2,0.0,1023.9,98,29.8
2021-01-07,-9.6,-11.6,1.6,1018.6,99,26.8
2021-01-08,-6.2,-10.5,1.4,1013.6,99,24.2
2021-01-09,-5.7,-7.8,0.8,1009.0,98,24.5
2021-01-10,-5.7,-13.5,11.0,999.0,100,31.9
2021-01-11,-13.9,-19.6,0.0,1007.4,88,20.6
2021-01-12,-18.2,-22.5,0.7,1013.1,81,11.2
2021-01-13,-22.3,-31.5,0.0,1021.8,70,17.3
2021-01-14,-11.1,-27.8,13.3,1012.4,100,43.0
2021-01-15,-10.7,-14.4,1.1,1002.4,95,22.4
2021-01-16,-7.3,-11.2,6.5,989.1,100,27.8
2021-01-17,-11.1,-22.0,0.1,997.3,82,27.5
2021-01-18,-22.2,-26.8,0.0,1010.4,56,12.0
2021-01-19,-19.3,-26.5,3.0,1006.5,100,12.0
2021-01-20,-16.0,-19.5,3.0,1004.8,97,17.3
2021-01-21,-9.1,-15.6,0.8,1006.5,91,26.4
2021-01-22,-11.3,-18.1,0.6,1007.7,86,13.6
2021-01-23,-7.8,-17.9,3.0,1012.0,100,27.5
2021-01-24,1.1,-7.3,2.6,1011.5,100,24.4
2021-01-25,1.1,-1.2,0.1,1016.3,99,27.4
2021-01-26,-1.6,-3.3,0.3,1015.1,100,28.8
2021-01-27,-2.9,-5.2,0.0,1011.9,100,38.2
2021-01-28,-5.1,-8.0,0.1,1007.9,98,31.6
2021-01-29,-3.7,-7.8,0.3,1001.2,100,23.2
2021-01-30,-1.4,-6.9,2.5,998.1,84,39.6
2021-01-31,-0.9,-5.2,3.8,998.4,99,50.0
2021-02-01,-0.1,-6.2,0.5,1002.8,90,45.1
2021-02-02,-5.3,-10.9,4.2,1007.3,85,14.1
2021-02-03,-9.8,-11.7,0.0,1010.9,97,19.1
2021-02-04,-1.3,-10.0,1.2,999.6,99,19.6
2021-02-05,2.3,-4.8,13.5,986.7,100,33.3
2021-02-06,-5.4,-16.7,0.3,986.8,99,36.4
2021-02-07,-17.1,-19.3,1.8,990.9,100,29.5
2021-02-08,-19.8,-24.6,0.0,1001.5,64,28.4
2021-02-09,-20.2,-24.2,0.0,1013.4,41,23.4
2021-02-10,-15.4,-20.8,1.5,1014.7,99,19.2
2021-02-11,-14.9,-17.5,1.7,1014.2,80,22.6
2021-02-12,-7.2,-17.2,3.3,1009.3,93,19.7
2021-02-13,-0.2,-6.7,8.8,998.7,100,32.9
2021-02-14,-5.9,-15.4,0.6,998.6,85,38.5
2021-02-15,-16.5,-21.9,0.0,1005.7,70,19.2
2021-02-16,-20.4,-24.2,0.0,1014.2,37,15.9
2021-02-17,-21.0,-26.5,0.0,1016.0,13,19.2
2021-02-18,-20.5,-28.6,0.0,1012.0,67,15.2
2021-02-19,-17.8,-24.5,1.2,1007.9,94,16.3
2021-02-20,-20.6,-26.1,0.0,1014.8,17,15.9
2021-02-21,-21.6,-27.4,0.0,1017.4,29,9.9
2021-02-22,-23.2,-29.2,0.0,1016.6,42,27.6
2021-02-23,-26.4,-31.7,0.0,1025.0,2,32.8
2021-02-24,-20.9,-28.5,0.0,1027.0,6,22.5
2021-02-25,-18.0,-27.9,2.5,1016.4,83,30.3
2021-02-26,-13.3,-20.0,5.2,1003.9,82,44.2
2021-02-27,-11.1,-15.2,6.8,990.5,94,40.1
2021-02-28,-12.6,-18.4,0.0,1000.7,40,22.3
2021-03-01,-13.1,-20.5,0.0,1009.6,23,17.7
2021-03-02,-1.0,-12.1,5.5,993.2,67,27.5
2021-03-03,-2.1,-7.4,0.9,992.9,49,26.8
2021-03-04,-0.1,-7.4,2.5,987.7,80,37.1
2021-03-05,-4.7,-9.4,0.0,993.7,49,21.0
2021-03-06,-9.1,-14.2,0.1,1002.8,22,20.2
2021-03-07,-7.8,-17.6,1.1,998.0,61,37.1
2021-03-08,-4.5,-9.6,3.4,987.3,93,36.0
2021-03-09,-9.0,-14.2,0.4,998.5,51,17.1
2021-03-10,-11.9,-20.4,0.2,1005.4,60,31.3
2021-03-11,-10.7,-21.1,0.0,1010.9,51,21.1
2021-03-12,-10.8,-16.6,0.0,1016.7,0,19.2
2021-03-13,-9.6,-15.7,0.0,1018.7,48,28.4
2021-03-14,-5.2,-12.3,0.1,1014.6,96,29.6
2021-03-15,-0.3,-5.1,4.5,1012.3,72,31.6
2021-03-16,-2.2,-4.6,0.3,1015.5,98,29.5
2021-03-17,-3.9,-7.7,0.0,1014.0,99,25.2
2021-03-18,-2.4,-5.4,1.4,1002.3,97,21.5
2021-03-19,-1.2,-6.5,0.0,998.2,94,27.2
2021-03-20,-1.2,-5.7,0.0,997.7,95,27.2
2021-03-21,-2.0,-7.2,0.0,997.9,41,22.9
2021-03-22,-1.9,-7.8,0.9,996.1,78,25.9
2021-03-23,0.7,-3.0,0.3,999.9,89,17.8
2021-03-24,0.3,-6.1,0.0,1007.4,8,18.3
2021-03-25,2.0,-6.9,0.0,1006.9,2,14.1
2021-03-26,4.1,-5.2,0.0,1004.0,52,16.4
2021-03-27,3.9,-1.0,0.0,1006.4,94,24.0
2021-03-28,2.5,-4.2,0.0,1016.3,49,24.9
2021-03-29,5.1,-7.6,0.0,1023.5,11,14.6
